"X","PATHWAY.SORTORDER","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","Group.HMDB","Standardized name"
55,1510,"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*","Lipid","Phospholipid Metabolism",52464,"LC/MS Pos Late",100008990,2198,740.52248,"","9546800","","HMDB05323","PE 16:0/20:4"
56,1501,"1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*","Lipid","Phospholipid Metabolism",52467,"LC/MS Polar",100008993,892,857.51855,"","","","","PI 16:0/20:4"
57,1482,"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","Lipid","Phospholipid Metabolism",42446,"LC/MS Pos Late",1537,2160,758.56944,"40811-94-7","5287971","","","PC 16:0/18:2"
58,1512,"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)","Lipid","Phospholipid Metabolism",42449,"LC/MS Pos Late",100001870,2275,716.52248,"","9546747","","HMDB05322","PE 16:0/18:2"
59,1480,"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","Lipid","Phospholipid Metabolism",52461,"LC/MS Pos Late",1539,2358,760.58509,"26853-31-6;26853-31-6","6436017","","","PC 16:0/18:1"
60,1505,"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","Lipid","Phospholipid Metabolism",19263,"LC/MS Pos Late",1526,2509,718.53813,"26662-94-2","5283496","","HMDB05320","PE 16:0/18:1"
61,1562,"1-palmitoyl-2-oleoyl-GPS (16:0/18:1)","Lipid","Phospholipid Metabolism",19261,"LC/MS Pos Late",1531,2660,762.52797,"40290-44-6","5283499","C13880","","PS 16:0/18:1"
62,1493,"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*","Lipid","Phospholipid Metabolism",52470,"LC/MS Pos Late",100008984,2160,732.55378,"","","","","PC 16:0/16:1"
63,1529,"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)","Lipid","Phospholipid Metabolism",52616,"LC/MS Pos Late",100008921,2653,762.60074,"59403-51-9","","","","PC 16:0/18:0"
64,1776,"1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*","Lipid","Diacylglycerol",52634,"LC/MS Pos Late",100009055,3197,610.54104,"","","","",NA
65,1743,"1-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol",21127,"LC/MS Neg",100000827,6400,255.23293,"542-44-9","14900","","HMDB31074","MG 16:0/0:0/0:0"
66,1606,"1-palmitoyl-GPC (16:0)","Lipid","Lysolipid",33955,"LC/MS Pos Late",100001263,1525,496.33977,"17364-16-8","86554","","HMDB10382","LPC 16:0/0:0"
67,1642,"1-palmitoyl-GPE (16:0)","Lipid","Lysolipid",35631,"LC/MS Neg",100001567,6057.2,452.27826,"","9547069","","HMDB11503","LPE 16:0/0:0"
68,1689,"1-palmitoyl-GPG (16:0)*","Lipid","Lysolipid",45970,"LC/MS Neg",100005717,5570,483.27284,"","3300276","","","LPG 16:0/0:0"
69,1665,"1-palmitoyl-GPI (16:0)*","Lipid","Lysolipid",35305,"LC/MS Neg",100001655,5564,571.28888,"","","","HMDB61695","LPI 16:0/0:0"
70,1691,"1-palmitoyl-GPS (16:0)*","Lipid","Lysolipid",46130,"LC/MS Neg",100005805,5572,496.26809,"","9547100","","","LPS 16:0/0:0"
71,1481,"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","Lipid","Phospholipid Metabolism",42450,"LC/MS Pos Late",100001869,2300,810.60074,"35418-59-8","16219824","","","PC 18:0/20:4"
